Character,Lightning,Poison,Fire,Falling,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,LightningInstances,PoisonInstances,FireInstances,FallingInstances,RadiantInstances,NecroticInstances,PsychicInstances,IceInstances,AcidInstances,ThunderInstances,PhysicalInstances,LightningInstVals,PoisonInstVals,FireInstVals,FallingInstVals,RadiantInstVals,NecroticInstVals,PsychicInstVals,IceInstVals,AcidInstVals,ThunderInstVals,PhysicalInstVals,
Vex,0,83,20,0,0,57,0,0,0,0,4,0,1,3,0,0,1,0,0,0,0,1,"[]","[83]","[9, 6, 5]","[]","[]","[57]","[]","[]","[]","[]","[4]",
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Vax,0,88,0,0,0,0,0,43,0,0,40,0,2,0,0,0,0,0,1,0,0,3,"[]","[5, 83]","[]","[]","[]","[]","[]","[43]","[]","[]","[12, 17, 11]",
Grog,0,0,8,0,0,57,0,15,0,0,0,0,0,2,0,0,1,0,1,0,0,0,"[]","[]","[6, 2]","[]","[]","[57]","[]","[15]","[]","[]","[]",
Keyleth,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"[]","[]","[9, 53]","[]","[]","[]","[]","[]","[]","[]","[]",
Percy,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[]","[]","[]","[]","[]","[]","[2]","[]","[]","[]","[]",
Scanlan,0,83,6,0,0,0,0,43,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"[]","[83]","[6]","[]","[]","[]","[]","[43]","[]","[]","[]",
Pike,0,0,17,0,0,57,0,73,0,0,0,0,0,2,0,0,1,0,2,0,0,0,"[]","[]","[12, 5]","[]","[]","[57]","[]","[43, 30]","[]","[]","[]",
Tiberius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Taryon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Doty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Tova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
